Mandarin,English
爱 (ài),like
爱好 (ài hào),Hobby
爸爸 (bà bà),dad
八 (bā),eight
吧 (ba),Bar
白 (bái),white
百 (bǎi),Hundred
白天 (bái tiān),daytime
班 (bān),class
半 (bàn),Half
半年 (bàn nián),Half a year
半天 (bàn tiān),long time
帮 (bāng),help
帮忙 (bāng máng),help
包 (bāo),Bag
包子 (bāo zi),steamed stuffed bun
杯 (bēi),cup
北 (běi),north
北边 (běi biān),North
北京 (běi jīng),Beijing
杯子 (bēi zi),cup
本 (běn),Book
本子 (běn zi),book
比 (bǐ),Compare
别 (bié),Don't
别的 (bié de),Something else
别人 (bié rén),other people
病 (bìng),sick
病人 (bìng rén),patient
不大 (bù dà),Not big
不对 (bú duì),wrong
不 (bù),No
不客气 (bú kè qì),You're welcome
不用 (bù yòng),Need not
菜 (cài),vegetable
茶 (chá),Tea
差 (chà),Difference
常 (cháng),often
唱 (chàng),Sing
常常 (cháng cháng),Frequent
唱歌 (chàng gē),Sing
车 (chē),car
车上 (chē shàng),On the car
车票 (chē piào),ticket
车站 (chē zhàn),station
吃 (chī),eat
吃饭 (chī fàn),Have a meal
出 (chū),out
出来 (chū lái),come out
出去 (chū qù),go out
穿 (chuān),wear
床 (chuáng),bed
次 (cì),Second-rate
从 (cóng),from
错 (cuò),wrong
打 (dǎ),beat
打车 (dǎ chē),Take a taxi
大 (dà),big
打电话 (dǎ diàn huà),Call up
打开 (dǎ kāi),Open
打球 (dǎ qiú),Playing ball
大学 (dà xué),University
大学生 (dà xué shēng),College Students
到 (dào),arrive
得到 (dé dào),get
的 (de),of
等 (děng),wait
第 (dì),The
地 (dì),land
地 (dì),land
弟弟 (dì dì),younger brother
地点 (dì diǎn),Place
地方 (dì fāng),place
地上 (dì shàng),On the ground
地图 (dì tú),map
电 (diàn),electricity
点 (diǎn),point
电话 (diàn huà),Telephone
电脑 (diàn nǎo),computer
电视 (diàn shì),television
电视机 (diàn shì jī),TV set
电影 (diàn yǐng),Movie
电影院 (diàn yǐng yuàn),Cinema
动 (dòng),move
东 (dōng),East
东边 (dōng biān),East
东西 (dōng xī),thing
动作 (dòng zuò),action
都 (dōu),All
读 (dú),read
读书 (dú shū),read
对 (duì),right
对不起 (duì bù qǐ),sorry
多 (duō),many
多少 (duō shǎo),How many
饿 (è),Hungry
二 (èr),two
儿子 (ér zi),son
饭 (fàn),meal
饭店 (fàn diàn),Restaurant
放 (fàng),put
放学 (fàng xué),After school
